sample_id,asv_score,source,is_hallucination,has_repetition,repetition_rate,has_sentence_rep,sentence_rep_rate,has_incoherence,lexical_diversity,text,category
fever_65132,0.3764705882352939,fever,False,False,0.125,True,0.5,False,0.9166666666666666,"Yes, the claim is factually correct. Duff McKagan is an American citizen.",top_worst
halueval_qa_135,0.3888888888888889,halueval,False,False,0.16666666666666666,False,0.0,False,1.0,Pearl Lowe and Alison Goldfrapp are both of British nationality.,top_worst
halueval_qa_547,0.4142857142857142,halueval,False,False,0.16666666666666666,False,0.0,False,1.0,"""Just a Lil Bit"" was released on May 17, 2005.",top_worst
halueval_qa_1017,0.4179487179487179,halueval,False,False,0.08333333333333333,False,0.0,False,1.0,"Yes, both ""The Million Dollar Duck"" (1971) and ""A Far Off Place"" (1993) are American films.",top_worst
halueval_qa_1562,0.419298245614035,halueval,False,False,0.1,False,0.0,False,0.7857142857142857,"The Naga Chili is closely related to the Naga Morich, which is from Bangladesh.",top_worst
halueval_qa_1554,0.4307692307692307,halueval,False,False,0.16666666666666666,False,0.0,False,0.9,The John Coltrane Home is located in the United States.,top_worst
halueval_qa_3513,0.4314814814814814,halueval,False,False,0.16666666666666666,True,0.5,False,1.0,"S. Truett Cathy founded Chick-fil-A, which is headquartered in Georgia.",top_worst
halueval_qa_758,0.432456140350877,halueval,False,False,0.125,False,0.0,False,1.0,"Allkpop is based in the borough of Edgewater, Bergen County, New Jersey.",top_worst
halueval_qa_241,0.438095238095238,halueval,False,False,0.16666666666666666,True,0.5,False,0.9,"Mark L. Lester is American, while Ken Loach is British.",top_worst
halueval_qa_3126,0.4440476190476189,halueval,False,False,0.06666666666666667,True,0.5,False,0.9473684210526315,"The American actress who appeared in both ""Dr. Alien"" (1989) and ""Little House on the Prairie"" is Judy Landers.",top_worst
halueval_qa_4697,0.4499999999999999,halueval,False,False,0.125,False,0.0,False,1.0,The Irish footballer who joined Pacific Films in 1950 was Dan Cummins.,top_worst
halueval_qa_65,0.4499999999999999,halueval,False,False,0.16666666666666666,False,0.0,False,1.0,Iqaluit Airport and Canadian North are based out of Canada.,top_worst
halueval_qa_1305,0.4555555555555554,halueval,False,False,0.125,False,0.0,False,1.0,Rutgers University is the largest institution for higher learning in New Jersey.,top_worst
halueval_qa_4433,0.4555555555555554,halueval,False,False,0.14285714285714285,False,0.0,False,1.0,Franz Liszt based his play on a work by Lord Byron.,top_worst
halueval_qa_1864,0.4564102564102563,halueval,False,False,0.125,False,0.0,False,1.0,The 2011 Indian Grand Prix was held 40 km from New Delhi.,top_worst
halueval_qa_3699,0.4583333333333332,halueval,False,False,0.08333333333333333,False,0.0,False,1.0,The National Motor Museum Monorail was originally part of a holiday camp founded by Billy Butlin.,top_worst
halueval_qa_623,0.4583333333333332,halueval,False,False,0.1111111111111111,False,0.0,False,1.0,"The 2005 crime thriller ""Revolver,"" starring Jason Statham, was directed by Guy Ritchie.",top_worst
halueval_qa_1412,0.4604166666666666,halueval,False,False,0.14285714285714285,False,0.0,False,0.9090909090909091,Al Capone was the co-founder and boss of the Chicago Outfit.,top_worst
halueval_qa_962,0.4604166666666666,halueval,False,False,0.1111111111111111,False,0.0,False,0.9230769230769231,"The host for which ""Winner Take All"" is best known is Bill Cullen.",top_worst
halueval_qa_1195,0.4619047619047617,halueval,False,False,0.16666666666666666,False,0.0,False,1.0,Cabalva made three voyages for the British East India Company.,top_worst
halueval_qa_3399,0.5611111111111111,halueval,False,False,0.05555555555555555,False,0.0,False,0.9090909090909091,"The head coach of the 2009–10 Oklahoma Sooners men's basketball team was Jeff Capel III, who was born on February 12, 1975.",middle
halueval_qa_476,0.5611111111111111,halueval,False,False,0.1111111111111111,False,0.0,False,1.0,Garth Jennings and Lee Cheol-ha both share the occupation of being film directors.,middle
fever_186998,0.5619047619047619,fever,False,False,0.04,True,0.5,False,0.8620689655172413,"Yes, the Bermuda Triangle is located in the western part of the Atlantic Ocean, not the eastern part. This region is roughly bounded by Miami, Bermuda, and Puerto Rico.",middle
halueval_qa_4374,0.56231884057971,halueval,False,False,0.09090909090909091,False,0.0,False,0.8666666666666667,"In the film ""The Winning Team"" (1952), Frank Lovejoy played the role of The Rajah.",middle
halueval_qa_4979,0.56231884057971,halueval,False,False,0.09090909090909091,False,0.0,False,1.0,"Ray McKinnon, who wrote and produced the film ""Chrystal,"" was born on November 15, 1957.",middle
