sample_id,asv_score,D_hat,coh_star,r_LZ,text_length,unique_ratio,degeneracy_type,text_preview
sharegpt_000175,0.2710891812865497,0.5,0.16228070175438597,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000566,0.2710891812865497,0.5,0.16228070175438597,0.01918859649122807,1539,0.03508771929824561,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000938,0.2710891812865497,0.5,0.16228070175438597,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000499,0.2723765432098766,0.5,0.16296296296296298,0.01990740740740741,1836,0.05555555555555555,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000063,0.2743055555555555,0.5,0.16666666666666666,0.01875,1632,0.0625,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000082,0.2747441520467836,0.5,0.16666666666666666,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000278,0.2747441520467836,0.5,0.16666666666666666,0.01918859649122807,1729,0.05263157894736842,severe_repetition,Random fragments. Disconnected thoughts. No clear structure or logical flow between ideas. Random fragments. Disconnected thoughts. No clear structure or logical flow between ideas. Random fragments. ...
sharegpt_000997,0.2747441520467836,0.5,0.16666666666666666,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000081,0.27546296296296297,0.5,0.16666666666666666,0.01990740740740741,1836,0.05555555555555555,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000067,0.2758101851851852,0.5,0.16666666666666666,0.02025462962962963,1656,0.05555555555555555,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000583,0.27675438596491225,0.5,0.16842105263157894,0.019736842105263157,1938,0.05263157894736842,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000748,0.27685185185185185,0.5,0.1688888888888889,0.019444444444444445,1530,0.06666666666666667,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000384,0.27700163398692806,0.5,0.16666666666666666,0.02144607843137255,1564,0.058823529411764705,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000758,0.27730263157894736,0.5,0.17105263157894737,0.018092105263157895,1539,0.03508771929824561,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000562,0.2782271241830065,0.5,0.16666666666666666,0.02267156862745098,1377,0.0392156862745098,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000551,0.27834201388888885,0.5,0.16666666666666666,0.022786458333333332,1472,0.0625,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000746,0.27834201388888885,0.5,0.16666666666666666,0.022786458333333332,1472,0.0625,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000420,0.2783991228070175,0.5,0.17105263157894737,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000755,0.2783991228070175,0.5,0.17105263157894737,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000841,0.2783991228070175,0.5,0.17105263157894737,0.01918859649122807,1539,0.03508771929824561,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000517,0.27923976608187134,0.5,0.17192982456140352,0.01929824561403509,1938,0.05263157894736842,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000666,0.2796440972222222,0.5,0.16666666666666666,0.024088541666666668,1296,0.041666666666666664,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000726,0.2796440972222222,0.5,0.16666666666666666,0.024088541666666668,1296,0.041666666666666664,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000091,0.27966820987654323,0.5,0.1712962962962963,0.02025462962962963,1656,0.05555555555555555,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000197,0.27966820987654323,0.5,0.1712962962962963,0.02025462962962963,1656,0.05555555555555555,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000482,0.2808256172839506,0.5,0.1712962962962963,0.02141203703703704,1656,0.05555555555555555,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000778,0.28088235294117647,0.5,0.17647058823529413,0.01715686274509804,1734,0.058823529411764705,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000650,0.28095760233918127,0.5,0.17543859649122806,0.018092105263157895,1539,0.03508771929824561,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000390,0.28108660130718954,0.5,0.1715686274509804,0.02144607843137255,1547,0.058823529411764705,severe_repetition,Random fragments. Disconnected thoughts. No clear structure or logical flow between ideas. Random fragments. Disconnected thoughts. No clear structure or logical flow between ideas. Random fragments. ...
sharegpt_000713,0.28108660130718954,0.5,0.1715686274509804,0.02144607843137255,1547,0.058823529411764705,severe_repetition,Random fragments. Disconnected thoughts. No clear structure or logical flow between ideas. Random fragments. Disconnected thoughts. No clear structure or logical flow between ideas. Random fragments. ...
sharegpt_000730,0.28108660130718954,0.5,0.1715686274509804,0.02144607843137255,1564,0.058823529411764705,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000999,0.28108660130718954,0.5,0.1715686274509804,0.02144607843137255,1564,0.058823529411764705,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000651,0.28114035087719297,0.5,0.17105263157894737,0.021929824561403508,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000718,0.28125,0.5,0.16666666666666666,0.025694444444444443,1380,0.06666666666666667,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000688,0.2820540935672514,0.5,0.17543859649122806,0.01918859649122807,1748,0.05263157894736842,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000974,0.2820540935672514,0.5,0.17543859649122806,0.01918859649122807,1539,0.03508771929824561,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000358,0.2823529411764706,0.5,0.17647058823529413,0.018627450980392157,1734,0.058823529411764705,severe_repetition,Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space travel. Starting with topic A about cars. Now switching to cooking recipes. Suddenly discussing space trav...
sharegpt_000865,0.2826023391812865,0.5,0.17543859649122806,0.019736842105263157,1539,0.03508771929824561,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000011,0.28268229166666664,0.5,0.171875,0.022786458333333332,1472,0.0625,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
sharegpt_000062,0.28268229166666664,0.5,0.171875,0.022786458333333332,1296,0.041666666666666664,severe_repetition,The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is important. Understanding the concept helps. The concept is clear. The concept is i...
sharegpt_000228,0.28268229166666664,0.5,0.171875,0.022786458333333332,1472,0.0625,severe_repetition,This is a well-structured response that maintains coherence and provides clear information. This is a well-structured response that maintains coherence and provides clear information. This is a well-s...
